GeneSymbol	log2FC	ENTREZID	SYMBOL	Description	Group	EnsemblID
ECH1	0.464	1891	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	Peroxisomal ?-oxidation	ENSG00000104823
ELOVL6	0.652	79071	ELOVL6	ELOVL family member 6, elongation of long chain fatty acids	Lipogenesis	ENSG00000170522
EPHX2	-0.596	2053	EPHX2	epoxide hydrolase 2, cytoplasmic	Biotransformation	ENSG00000120915
ETFDH	0.546	2110	ETFDH	electron-transferring-flavoprotein dehydrogenase	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000171503
FABP1	0.845	2168	FABP1	fatty acid binding protein 1, liver	AcylcoA formation hydrolysis and binding	ENSG00000163586
FABP3	1.414	2170	FABP3	fatty acid binding protein 3, muscle and heart	AcylcoA formation hydrolysis and binding	ENSG00000121769
FABP4	1.573	2167	FABP4	fatty acid binding protein 4, adipocyte	AcylcoA formation hydrolysis and binding	ENSG00000170323
FBP2	1.053	8789	FBP2	fructose-1,6-bisphosphatase 2	Glucose/glycerol tranport and metabolism	ENSG00000130957
FGF21	1.423	26291	FGF21	fibroblast growth factor 21	Ketogenesis and ketolysis	ENSG00000105550
GK	0.702	2710	GK	glycerol kinase	Glucose/glycerol tranport and metabolism	ENSG00000198814
GLS2	-0.677	27165	GLS2	glutaminase 2 (liver, mitochondrial)	Amino acid metabolism	ENSG00000135423
GYS2	-0.915	2998	GYS2	glycogen synthase 2 (liver)	Glucose/glycerol tranport and metabolism	ENSG00000111713
HADHA	0.81	3030	HADHA	hydroxyacyl-Coenzyme A dehydrogenase alpha subunit	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000084754
HADHB	0.781	3032	HADHB	hydroxyacyl-Coenzyme A dehydrogenase beta subunit	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000138029
HAL	-0.651	3034	HAL	histidine ammonia-lyase	Amino acid metabolism	ENSG00000084110
HMGCS2	0.538	3158	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	Ketogenesis and ketolysis	ENSG00000134240
HMOX1	0.763	3162	HMOX1	heme oxygenase (decycling) 1	Oxidative stress/Immune response	ENSG00000100292
HPD	-0.593	3242	HPD	4-hydroxyphenylpyruvate dioxygenase	Amino acid metabolism	ENSG00000158104
IL1RAP	-0.483	3556	IL1RAP	interleukin 1 receptor accessory protein	Inflammation	ENSG00000196083
IRF7	0.755	3665	IRF7	interferon regulatory factor 7	Miscellanous	ENSG00000185507
LECT2	-0.521	3950	LECT2	leukocyte cell-derived chemotaxin 2	Oxidative stress/Immune response	ENSG00000145826
LIFR	0.411	3977	LIFR	leukemia inhibitory factor receptor alpha	Inflammation	ENSG00000113594
MBL2	0.424	4153	MBL2	mannose-binding lectin (protein C) 2, soluble (opsonic defect)	Oxidative stress/Immune response	ENSG00000165471
OASL	1.331	8638	OASL	2'-5'-oligoadenylate synthetase-like	Oxidative stress/Immune response	ENSG00000135114
OTC	-1.032	5009	OTC	ornithine carbamoyltransferase	Amino acid metabolism	ENSG00000036473
PDK4	2.032	5166	PDK4	pyruvate dehydrogenase kinase, isozyme 4	Glucose/glycerol tranport and metabolism	ENSG00000004799
PEX11A	0.901	8800	PEX11A	peroxisomal biogenesis factor 11A	Peroxisomal ?-oxidation	ENSG00000166821
PLA1A	0.65	51365	PLA1A	phospholipase A1 member A	Inflammation	ENSG00000144837
PLTP	-0.748	5360	PLTP	phospholipid transfer protein	Lipoprotein uptake and metabolism	ENSG00000100979
PNPLA2	0.551	57104	PNPLA2	patatin-like phospholipase domain containing 2	Lipase and lipid droplets	ENSG00000177666
POR	0.988	5447	POR	P450 (cytochrome) oxidoreductase	Oxidative stress/Immune response	ENSG00000127948
SAA4	-0.811	6291	SAA4	serum amyloid A4, constitutive	Inflammation	ENSG00000148965
SGK2	0.919	10110	SGK2	serum/glucocorticoid regulated kinase 2	Miscellanous	ENSG00000101049
SLC10A1	-1.162	6554	SLC10A1	solute carrier family 10 member 1	Cholesterol/Bile tansport and metabolism	ENSG00000100652
SLC10A2	0.794	6555	SLC10A2	solute carrier family 10 (sodium/bile acid cotransporter family), member 2	Cholesterol/Bile tansport and metabolism	ENSG00000125255
SLC25A10	-0.476	1468	SLC25A10	solute carrier family 25 member 10	Lipogenesis	ENSG00000183048
SLC25A20	0.561	788	SLC25A20	solute carrier family 25, member 20	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000178537
SLC27A2	0.404	11001	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	Lipid and hormone transport	ENSG00000140284
SLC27A4	0.71	10999	SLC27A4	solute carrier family 27 (fatty acid transporter), member 4	Lipid and hormone transport	ENSG00000167114
SLCO1B3	-0.498	28234	SLCO1B3	solute carrier organic anion transporter family, member 1B3	Cholesterol/Bile tansport and metabolism	ENSG00000111700
TAT	-0.829	6898	TAT	tyrosine aminotransferase	Amino acid metabolism	ENSG00000198650
TXNIP	0.726	10628	TXNIP	thioredoxin interacting protein	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000265972
VCAM1	-0.841	7412	VCAM1	vascular cell adhesion molecule 1	Inflammation	ENSG00000162692
VLDLR	0.783	7436	VLDLR	very low density lipoprotein receptor	Lipoprotein uptake and metabolism	ENSG00000147852
ADFP	2.084	123	PLIN2	adipose differentiation-related protein	Lipase and lipid droplets	ENSG00000147872
EMR1	-0.811	2015	ADGRE1	egf-like module containing, mucin-like, hormone receptor-like 1	Inflammation	ENSG00000174837
PLIN	2.187	5346	PLIN1	perilipin	Lipase and lipid droplets	ENSG00000166819
KIAA1881	0.928	729359	PLIN4	KIAA1881	Lipase and lipid droplets	ENSG00000167676
