GeneSymbol	log2FC	ENTREZID	SYMBOL	NonHDACi.score	HDACi.score	std.dev	pc.mn	pc.sd	pc1	pc2	EnsemblID
GJA1	1.586067971125	2697	GJA1	-0.0296549054	1.586067971125	1.38154290074248	0.532335660347826	1.01390833987831	-0.121036829398751	0.0842369611942426	ENSG00000152661
GPR87	-1.230996577	53836	GPR87	0.969637209466667	-1.230996577	1.66199219855442	0.204199370695652	1.40815237428932	0.125891175846699	0.0878086657184845	ENSG00000138271
GSTM2	0.476083277375	2946	GSTM2	-1.41456618453333	0.476083277375	1.75079232342107	-0.756948980391304	1.35946816988111	-0.11458494866543	-0.231251229477043	ENSG00000213366
HIF1A	0.98010925425	3091	HIF1A	-0.306188668333333	0.98010925425	1.22410430274602	0.14121930473913	0.792609912015853	-0.130920782339328	-0.0506474315182846	ENSG00000100644
HLA-DMB	2.798635856125	3109	HLA-DMB	0.3506203332	2.798635856125	1.71054231171392	1.20210399334783	1.53118447722908	-0.10795609851311	0.132544607157598	ENSG00000242574
HSPA2	1.227624205625	3306	HSPA2	-0.321854094666667	1.227624205625	1.4218217874437	0.217094879347826	1.01496883504759	-0.103844630181373	0.00611322421396722	ENSG00000126803
IFI6	1.44504116925	2537	IFI6	-0.133951079533333	1.44504116925	1.17986245082636	0.415263615695652	0.887133640762499	-0.126302277532655	0.0259050946603743	ENSG00000126709
IFITM2	-2.136665234	10581	IFITM2	-0.412548451733333	-2.136665234	1.50216892216966	-1.01224124556522	1.13069749342017	0.111454120393648	-0.149188193864608	ENSG00000185201
IFITM3	-2.56886799675	10410	IFITM3	-0.308112068733333	-2.56886799675	1.5151613597468	-1.09446195673913	1.34350426454656	0.116524529018111	-0.171285260424024	ENSG00000142089
ITGA1	0.653972913125	3672	ITGA1	-0.8441268934	0.653972913125	1.32922502734187	-0.323048699826087	0.937225556327498	-0.12681983900323	-0.146437068790942	ENSG00000213949
ITPR2	0.489123795125	3709	ITPR2	-1.80993437866667	0.489123795125	2.16100712249399	-1.0102619703913	1.79340980040751	-0.109320361224607	-0.257687707609447	ENSG00000123104
KLRC2	1.240775225	3822	KLRC2	-0.462296953266667	1.240775225	1.14156157258641	0.130075978304348	0.922970302441548	-0.124150838745643	0.0475382232136425	ENSG00000205809
LIPA	0.974509299625	3988	LIPA	-0.135437414	0.974509299625	1.09477318109179	0.250631008130435	0.649039208686636	-0.124072277742716	0.113807375133231	ENSG00000107798
MDM2	-0.886763615	4193	MDM2	0.8782946048	-0.886763615	1.37678291259665	0.264361310956522	1.06855797279379	0.130544083324651	0.0904500800389864	ENSG00000135679
METRN	1.38864019875	79006	METRN	-0.499273981666667	1.38864019875	1.4260752419215	0.157391820217391	1.145299522222	-0.124190453856868	-0.0669456944199459	ENSG00000103260
MICALL1	-0.75160199	85377	MICALL1	0.945471459466667	-0.75160199	1.35777966736255	0.35518504226087	1.03090703137557	0.112350019735014	-0.0686594425625568	ENSG00000100139
MT1M	1.45315458	4499	MT1M	-0.162583902	1.45315458	1.3986613491695	0.39941209173913	1.02454451378411	-0.124502982438557	-0.0380273055071806	ENSG00000205364
MT2A	2.1006626055	4502	MT2A	0.485771582	2.1006626055	1.42799555536841	1.04747280756522	1.04282097129289	-0.105435094305021	0.194235637326587	ENSG00000125148
MX1	-0.91145613825	4599	MX1	0.5671416032	-0.91145613825	1.39362170914403	0.0528467366086957	0.9708837715225	0.0971901331017745	-0.123960953073975	ENSG00000157601
MYL1	3.279778312875	4632	MYL1	-0.217193029666667	3.279778312875	1.58991756546217	0.999144828608696	1.90021841145637	-0.126572184848687	0.143587441631206	ENSG00000168530
NCF2	-1.231538048625	4688	NCF2	0.570137528933333	-1.231538048625	1.6223511438335	-0.0565322371739131	1.2389351901499	0.11015177677231	-0.128279143133902	ENSG00000116701
NFYB	1.481462977625	4801	NFYB	-0.160803122466667	1.481462977625	1.30688098777233	0.410419868869565	0.980075966579968	-0.12354795569405	0.0346651975165187	ENSG00000120837
PEG10	1.03639775575	23089	PEG10	-0.649529514133333	1.03639775575	1.41675298739311	-0.0631200289565217	1.06214824230519	-0.125029280883041	-0.119395789989242	ENSG00000242265
PHOSPHO1	1.1473411315	162466	PHOSPHO1	-1.4519419576	1.1473411315	1.84301989388253	-0.547843491826087	1.67065366741761	-0.117594899012818	-0.0272708960818817	ENSG00000173868
RNF19B	-0.566214961375	127544	RNF19B	0.937961557933333	-0.566214961375	1.32225570420475	0.414769725130435	0.935282096648551	0.125166400361877	0.0956378209677832	ENSG00000116514
RTN4IP1	0.86587941450000006	84816	RTN4IP1	-0.5768982316	0.86587941450000006	1.31709672327706	-0.0750625286086957	0.908848247227879	-0.123289315299059	-0.138437194975255	ENSG00000130347
S100A12	1.891927300375	6283	S100A12	-1.2354921594	1.891927300375	1.88281805678925	-0.147694086434783	1.8959572643054	-0.125544229339976	-0.0447796118614505	ENSG00000163221
S100A2	-1.905217121	6273	S100A2	0.981592339	-1.905217121	1.8298095868968	-0.0225152992608695	1.7712119100405	0.127774099113154	0.0104201930915917	ENSG00000196754
S100A8	2.542514417375	6279	S100A8	-0.5294058266	2.542514417375	1.83010105556514	0.539088171304348	1.84374410490637	-0.127103937439674	0.0242489451615653	ENSG00000143546
S100A9	2.052341314875	6280	S100A9	-0.484109551933333	2.052341314875	1.71870673867539	0.398134227826087	1.56985901010139	-0.11765191218936	0.107439471423377	ENSG00000163220
SCARA3	-1.40238170525	51435	SCARA3	0.773648511866667	-1.40238170525	1.56822864400164	0.0167684363478261	1.34103998336319	0.118528117953085	-0.0170380574486973	ENSG00000168077
SESN1	-1.0546457505	27244	SESN1	0.76995904	-1.0546457505	1.45400098336282	0.135313895478261	1.13753370697471	0.128348352267872	0.0854487701384393	ENSG00000080546
SKA1	-0.806266069	220134	SKA1	1.1312489446	-0.806266069	1.83286596774787	0.457330679	1.43441249505989	0.11069630400274	0.152264736124463	ENSG00000154839
SLC25A4	0.97517196925	291	SLC25A4	-0.362432467533333	0.97517196925	1.17886165615036	0.102821249608696	0.786878665855702	-0.129987816711749	-0.0577130929827323	ENSG00000151729
SLC7A7	1.235953019375	9056	SLC7A7	-0.348797744866667	1.235953019375	1.45415137928411	0.20241991226087	1.04893251960921	-0.114390310640855	-0.0159227627747414	ENSG00000155465
SPAG5	-1.20599556975	10615	SPAG5	0.506156798466667	-1.20599556975	1.57224879347074	-0.0893744600434783	1.17350693521751	0.116744176548893	0.0739959729347983	ENSG00000076382
SPP1	2.58927950325	6696	SPP1	-0.3043027572	2.58927950325	1.75339163945651	0.70216063773913	1.72949944322337	-0.111660566556627	-0.0404721611446257	ENSG00000118785
SRXN1	1.535975859125	140809	SRXN1	0.110689137333333	1.535975859125	1.36050979994565	0.606441040565217	0.929952188663854	-0.119223659922833	-0.0852840645285945	ENSG00000271303
STAP2	-2.106981493	55620	STAP2	-0.397158210733333	-2.106981493	1.37578201129932	-0.991879352391304	1.0464499072143	0.114090067911468	-0.176724864985575	ENSG00000178078
SYTL1	-0.900230359375	84958	SYTL1	1.32206923033333	-0.900230359375	1.43899919146167	0.54909546	1.28649188564207	0.127601792448016	0.0126955401007163	ENSG00000142765
TES	1.257738276375	26136	TES	0.00214733726666667	1.257738276375	1.11047666059596	0.438874620434783	0.717089767719196	-0.129713154869135	0.0498745911887534	ENSG00000135269
TP53	-1.257331348375	7157	TP53	0.820508102333333	-1.257331348375	1.8552632457831	0.0977813368695652	1.49630430780265	0.104079456884115	0.0270682615219731	ENSG00000141510
TP53I3	-0.847064141125	9540	TP53I3	0.8349122266	-0.847064141125	1.38294341842334	0.24987696826087	1.03998863544691	0.12254305660327	0.0341439047748921	ENSG00000115129
TRIM22	-2.809544283125	10346	TRIM22	0.814131393066667	-2.809544283125	1.57625566525823	-0.446277537782609	1.94999158553748	0.137245089620253	-0.0768245407728662	ENSG00000132274
TYMS	-1.307037601	7298	TYMS	0.707809491266666	-1.307037601	1.46820236816054	0.00699311134782611	1.21947048662397	0.12996356481121	-0.00521491838527456	ENSG00000176890
WDR3	0.981133967	10885	WDR3	-0.399945633733333	0.981133967	1.1381364142213	0.0804298795652174	0.783366592341548	-0.132462472625663	-0.0465060220909574	ENSG00000065183
